TRAIN,NEURONS,RADIUS,LEAKING,SPARSITY,SCALE,MSE,NMSE,MAPE,MSE(X),NMSE(X),MAPE(X),MSE(Y),NMSE(Y),MAPE(Y),MSE(Z),NMSE(Z),MAPE(Z)
130.0,200.0,0.2,0.1,0.9,0.4,3.6402024261783787e-10,7.664763337934581e-13,0.007214158751431064,9.869887318636502e-12,4.1763700864801787e-14,0.0002627055864191352,1.212623465287172e-10,6.558788850190188e-13,0.0011698804573330533,2.328880087704841e-10,4.3356465823432624e-12,0.005781572707678877
130.0,220.0,0.2,0.1,0.9,0.4,4.259216463660452e-10,8.968151321536501e-13,0.007575535902000502,7.648831491538073e-12,3.23654668047418e-14,0.00023019297812372882,1.8468006199410352e-10,9.988900645036631e-13,0.001428463941657728,2.335927528804036e-10,4.3487667142372586e-12,0.005916878982219044
130.0,240.0,0.2,0.1,0.9,0.4,5.241521129161768e-10,1.103647937183148e-12,0.008194609146339812,6.358775249578265e-12,2.690668888270339e-14,0.00020667493735915214,2.431490034152317e-10,1.31513451470033e-12,0.0016255036001935185,2.7464433425136693e-10,5.113018808668671e-12,0.006362430608787142
130.0,260.0,0.2,0.1,0.9,0.4,4.1867092503887785e-10,8.815481067260567e-13,0.007339448790100317,5.612694034794345e-12,2.3749701201977965e-14,0.00019276223865931306,1.8178985864081277e-10,9.832576492725622e-13,0.0013525712820617306,2.3126837236327072e-10,4.305494016349648e-12,0.005794115269379274
130.0,280.0,0.2,0.1,0.9,0.4,4.230005561932366e-10,8.906645223132931e-13,0.0074221734086467725,9.20086956582906e-12,3.893280154452952e-14,0.0002500162659030855,1.6325395741009514e-10,8.830014149175172e-13,0.0013015933304500328,2.5054572921731243e-10,4.664378128941323e-12,0.005870563812293654
130.0,300.0,0.2,0.1,0.9,0.4,4.658330163212451e-10,9.808519986200343e-13,0.007541763416875911,5.549183892595251e-12,2.348096271540217e-14,0.00019490454459001352,2.0944275958515317e-10,1.1328255436611156e-12,0.0014829444970005329,2.5084107284349673e-10,4.669876503847971e-12,0.005863914375285365
130.0,320.0,0.2,0.1,0.9,0.4,3.1312681259425377e-10,6.593157831105572e-13,0.006451432897509157,7.30076459014179e-12,3.0892647360957e-14,0.00022110352260376563,1.2418222621283001e-10,6.71671812390353e-13,0.0011690561182376119,1.8164382179128204e-10,3.3816400393945604e-12,0.005061273256667781
130.0,340.0,0.2,0.1,0.9,0.4,4.4006177708753444e-10,9.265884092572138e-13,0.007788254435034295,8.131038052116542e-12,3.4405888331441276e-14,0.00023096412591418864,2.3871350436251826e-10,1.2911439664677206e-12,0.00159217093434888,1.932172346728996e-10,3.597100802149779e-12,0.005965119374771226
130.0,360.0,0.2,0.1,0.9,0.4,3.4743532369775793e-10,7.315553421510507e-13,0.006853783726268972,7.029981429137986e-12,2.9746848369510096e-14,0.0002202232199859135,1.372709621520128e-10,7.424656389972508e-13,0.0012222864842968294,2.0313438011660705e-10,3.78172704364934e-12,0.005411274021986229
130.0,380.0,0.2,0.1,0.9,0.4,3.675741760174035e-10,7.739594501802161e-13,0.007024955757913439,7.153968103275502e-12,3.027148884439408e-14,0.0002168651328345432,1.547355080374527e-10,8.369271698071724e-13,0.0012957299018160262,2.0568469987667524e-10,3.829206023825255e-12,0.00551236072326287
130.0,400.0,0.2,0.1,0.9,0.4,3.9815799572332624e-10,8.383563469929185e-13,0.007053795666094868,6.688506649415094e-12,2.8301923002804783e-14,0.00021001764302457443,1.7516677248353755e-10,9.474349682131135e-13,0.0013573777361236383,2.1630271659037352e-10,4.026880297048052e-12,0.0054864002869466555
140.0,20.0,0.2,0.1,0.9,0.4,8.00261093975888e-10,1.7315868173886185e-12,0.008401404023212624,1.713615007817614e-12,7.425758224562647e-15,0.00010475259251730034,5.119045681990847e-10,2.8621046109060394e-12,0.002149539475858606,2.8664291076898586e-10,5.456494150961692e-12,0.0061471119548367195
140.0,40.0,0.2,0.1,0.9,0.4,1.1458272530701897e-9,2.4793150402495192e-12,0.010963302129648526,1.215787131153651e-12,5.268477019222363e-15,9.286488978838465e-5,6.24418914058775e-10,3.4911824665911576e-12,0.0025302324433786475,5.201925518802611e-10,9.902312284974162e-12,0.008340204796481494
140.0,60.0,0.2,0.1,0.9,0.4,1.1604142690771786e-9,2.510878094873664e-12,0.011264504000095562,3.6023584078041877e-12,1.561041567244576e-14,0.00014170517451966708,5.971571794977666e-10,3.3387596498484604e-12,0.002593346427317357,5.59654731171608e-10,1.0653508782071461e-11,0.00852945239825854
140.0,80.0,0.2,0.1,0.9,0.4,6.135668318907308e-10,1.3276220044765788e-12,0.008280513949624596,5.547605551520388e-12,2.4039925749306033e-14,0.00020143543412434693,3.1274559600403555e-10,1.74858883465871e-12,0.0019395538522102697,2.952736303351749e-10,5.620787315251582e-12,0.006139524663289979
140.0,100.0,0.2,0.1,0.9,0.4,6.048199594158589e-10,1.3086957200615526e-12,0.008240966268104832,5.164220077594407e-12,2.2378567846162184e-14,0.0001894928273708927,3.8770641867213857e-10,2.167701555122358e-12,0.0021578099074865136,2.119493206661259e-10,4.034637470755655e-12,0.005893663533247427
140.0,120.0,0.2,0.1,0.9,0.4,5.56042980470136e-10,1.2031531985391946e-12,0.008423058731416218,8.124414526520941e-12,3.520623810764981e-14,0.0002413141526461486,2.6306883463809616e-10,1.4708415813756744e-12,0.00177462314059867,2.848497313055188e-10,5.422359438793917e-12,0.006407121438171399
