TRAIN,NEURONS,RADIUS,LEAKING,SPARSITY,SCALE,MSE,NMSE,MAPE,MSE(X),NMSE(X),MAPE(X),MSE(Y),NMSE(Y),MAPE(Y),MSE(Z),NMSE(Z),MAPE(Z)
90.0,80.0,0.2,0.1,0.9,0.4,4.178822061029635e-9,9.275834405838236e-12,0.019405957367309396,2.1704288224978262e-10,9.610169134719365e-13,0.0011397408008430687,2.5769281516479993e-9,1.4519706735744397e-11,0.005408135866703562,1.3848510271318532e-9,2.935172420136966e-11,0.012858080699762764
90.0,100.0,0.2,0.1,0.9,0.4,2.8302537055927168e-9,6.282383962795373e-12,0.015808720047276424,2.598052693128482e-10,1.1503591153541672e-12,0.0012524602494079573,1.4249177473405374e-9,8.028701848249373e-12,0.003914854445995058,1.1455306889393312e-9,2.427936304137276e-11,0.010641405351873403
90.0,120.0,0.2,0.1,0.9,0.4,3.256452303696955e-9,7.228427503840822e-12,0.016352134400542,2.2428710714396616e-10,9.930927068641973e-13,0.0011674023319401697,2.002279112984794e-9,1.1281845597849966e-11,0.004699909594048883,1.0298860835681947e-9,2.1828291773974516e-11,0.01048482247455295
90.0,140.0,0.2,0.1,0.9,0.4,2.4612011345518575e-9,5.463188867615754e-12,0.0154852438435651,2.2298989902592032e-10,9.873489619930779e-13,0.0011652374738188769,1.0759597816864423e-9,6.062497504849608e-12,0.003286384438009218,1.1622514538394943e-9,2.4633757319291578e-11,0.011033621931737007
90.0,160.0,0.2,0.1,0.9,0.4,2.576865069683229e-9,5.719930957452876e-12,0.016962980653907743,2.2549406338111803e-10,9.98436836769312e-13,0.0011732724329305232,1.0272123489804686e-9,5.7878299994484494e-12,0.003254216401231536,1.324158657321642e-9,2.80653578956116e-11,0.01253549181974568
90.0,180.0,0.2,0.1,0.9,0.4,2.2840947908201444e-9,5.0700615478384535e-12,0.014721798817869437,2.134365900952449e-10,9.450490654618672e-13,0.0011426443908211315,1.100420984257695e-9,6.200324198818972e-12,0.0033399556000000114,9.702372164672048e-10,2.0564042362470336e-11,0.010239198827048292
90.0,200.0,0.2,0.1,0.9,0.4,2.4441892496788254e-9,5.425427167139197e-12,0.016584253071667793,2.1041012399373446e-10,9.316485563944756e-13,0.0011296755812545802,9.948233794476485e-10,5.60533428695109e-12,0.003152639180117665,1.238955746237442e-9,2.6259494089107628e-11,0.012301938310295548
90.0,220.0,0.2,0.1,0.9,0.4,1.8035510262908132e-9,4.003386700373445e-12,0.01361782712556354,2.13878572520759e-10,9.470060639221417e-13,0.001144060904145727,6.484322590010978e-10,3.653592837918696e-12,0.0024626138843019682,9.412401947689561e-10,1.99494545354238e-11,0.010011152337115846
90.0,240.0,0.2,0.1,0.9,0.4,1.8730762542961593e-9,4.157713563921886e-12,0.014169926547970018,2.305961752854764e-10,1.0210278371453212e-12,0.0011874684130049734,6.116170279858902e-10,3.4461573463984375e-12,0.002382599119488396,1.0308630510247924e-9,2.1848998462837044e-11,0.010599859015476647
90.0,260.0,0.2,0.1,0.9,0.4,1.9164989783005423e-9,4.254100055481623e-12,0.01405830377557884,2.1585650762470985e-10,9.557639143014925e-13,0.0011507462674899263,6.915948858434311e-10,3.896792743703519e-12,0.0025578888817563094,1.0090475848324017e-9,2.1386622702225796e-11,0.010349668626332605
