Date,HIGH,CLOSE,LOW,OPEN
2018-02-06,2701.04,2695.14,2593.07,2614.78
2018-02-07,2727.67,2681.66,2681.33,2690.95
2018-02-08,2685.27,2581.0,2580.56,2685.01
2018-02-09,2638.67,2619.55,2532.69,2601.78
2018-02-12,2672.61,2656.0,2622.45,2636.75
2018-02-13,2668.84,2662.94,2637.08,2646.27
2018-02-14,2702.1,2698.63,2648.87,2651.21
2018-02-15,2731.51,2731.2,2689.82,2713.46
2018-02-16,2754.42,2732.22,2725.11,2727.14
2018-02-20,2737.6,2716.26,2706.76,2722.99
2018-02-21,2747.75,2701.33,2701.29,2720.53
2018-02-22,2731.26,2703.96,2697.77,2710.42
2018-02-23,2747.76,2747.3,2713.74,2715.8
2018-02-26,2780.64,2779.6,2753.78,2757.37
2018-02-27,2789.15,2744.28,2744.22,2780.45
2018-02-28,2761.52,2713.83,2713.54,2753.78
2018-03-01,2730.89,2677.67,2659.65,2715.22
2018-03-02,2696.25,2691.25,2647.32,2658.89
2018-03-05,2728.09,2720.94,2675.75,2681.06
2018-03-06,2732.08,2728.12,2711.26,2730.18
2018-03-07,2730.6,2726.8,2701.74,2710.18
2018-03-08,2740.45,2738.97,2722.65,2732.75
2018-03-09,2786.57,2786.57,2751.54,2752.91
2018-03-12,2796.98,2783.02,2779.26,2790.54
2018-03-13,2801.9,2765.31,2758.68,2792.31
2018-03-14,2777.11,2749.48,2744.38,2774.06
2018-03-15,2763.03,2747.33,2741.47,2754.27
2018-03-16,2761.85,2752.01,2749.97,2750.57
2018-03-19,2741.38,2712.92,2694.59,2741.38
2018-03-20,2724.22,2716.94,2710.05,2715.05
2018-03-21,2739.14,2711.93,2709.79,2714.99
2018-03-22,2695.68,2643.69,2641.59,2691.36
2018-03-23,2657.67,2588.26,2585.89,2646.71
2018-03-26,2661.36,2658.55,2601.81,2619.35
2018-03-27,2674.78,2612.62,2596.12,2667.57
2018-03-28,2632.65,2605.0,2593.06,2611.3
2018-03-29,2659.07,2640.87,2609.72,2614.41
2018-04-02,2638.3,2581.88,2553.8,2633.45
2018-04-03,2619.14,2614.45,2575.49,2592.17
