Date,CLOSE,VOLUME,HIGH,LOW,OPEN
2020-01-09,0.036,102195.0,,,
2020-01-10,0.037,104295.0,,,
2020-01-11,0.037,67023.0,,,
2020-01-12,0.039,43924.0,,,
2020-01-13,0.037,73665.0,,,
2020-01-14,0.041,400023.0,,,
2020-01-15,0.042,556364.0,,,
2020-01-16,0.041,173437.0,,,
2020-01-17,0.045,581271.0,,,
2020-01-18,0.045,355099.0,,,
2020-01-19,0.043,144767.0,,,
2020-01-20,0.044,136595.0,,,
2020-01-21,0.046,251770.0,,,
2020-01-22,0.046,116393.0,,,
2020-01-23,0.043,201652.0,,,
2020-01-24,0.046,127309.0,,,
2020-01-25,0.044,57111.0,,,
2020-01-26,0.046,67859.0,,,
2020-01-27,0.048,420369.0,,,
2020-01-28,0.053,998516.0,,,
2020-01-29,0.056,645535.0,,,
2020-01-30,0.057,391364.0,,,
2020-01-31,0.054,271578.0,,,
2020-02-01,0.056,172775.0,,,
2020-02-02,0.057,281697.0,,,
2020-02-03,0.057,239335.0,,,
2020-02-04,0.056,298438.0,,,
2020-02-05,0.06,404046.0,,,
2020-02-06,0.06,352241.0,,,
2020-02-07,0.06,278226.0,,,
2020-02-08,0.061,351722.0,,,
2020-02-09,0.061,439896.0,,,
2020-02-10,0.06,231246.0,,,
2020-02-11,0.063,378271.0,,,
2020-02-12,0.069,890915.0,,,
2020-02-13,0.068,981217.0,,,
2020-02-14,0.071,483131.0,,,
2020-02-15,0.065,869255.0,,,
2020-02-16,0.06,878241.0,,,
2020-02-17,0.059,390794.0,,,
2020-02-18,0.062,477676.0,,,
2020-02-19,0.059,476589.0,,,
2020-02-20,0.058,572245.0,,,
2020-02-21,0.059,172413.0,,,
2020-02-22,0.059,68286.0,,,
2020-02-23,0.061,301727.0,,,
2020-02-24,0.058,301901.0,,,
2020-02-25,0.057,215560.0,,,
2020-02-26,0.049,1279351.0,,,
2020-02-27,0.05,329944.0,,,
2020-02-28,0.049,316355.0,,,
2020-02-29,0.05,62997.0,,,
2020-03-01,0.045,371896.0,,,
2020-03-02,0.05,346065.0,,,
2020-03-03,0.049,154405.0,,,
2020-03-04,0.05,160957.0,,,
2020-03-05,0.052,322876.0,,,
2020-03-06,0.052,118669.0,,,
2020-03-07,0.049,151552.0,,,
2020-03-08,0.044,298926.0,,,
2020-03-09,0.04,781092.0,,,
2020-03-10,0.042,196268.0,,,
2020-03-11,0.039,370579.0,,,
2020-03-12,0.028,930958.0,,,
2020-03-13,0.028,1270001.0,,,
2020-03-14,0.027,205849.0,,,
2020-03-15,0.029,533732.0,,,
2020-03-16,0.024,402071.0,,,
2020-03-17,0.027,260674.0,,,
2020-03-18,0.026,197394.0,,,
2020-03-19,0.031,523129.0,,,
2020-03-20,0.03,544547.0,,,
2020-03-21,0.03,123256.0,,,
2020-03-22,0.028,158365.0,,,
2020-03-23,0.029,289969.0,,,
2020-03-24,0.03,345014.0,,,
2020-03-25,0.029,306341.0,,,
2020-03-26,0.03,112737.0,,,
2020-03-27,0.031,152049.0,,,
2020-03-28,0.03,258560.0,,,
2020-03-29,0.028,128797.0,,,
2020-03-30,0.03,283190.0,,,
2020-03-31,0.031,100649.0,,,
2020-04-01,0.03,261848.0,,,
2020-04-02,0.033,255944.0,,,
2020-04-03,0.032,186153.0,,,
2020-04-04,0.033,53240.0,,,
2020-04-05,0.032,179551.0,,,
2020-04-06,0.035,346768.0,,,
2020-04-07,0.035,552945.0,,,
2020-04-08,0.036,154624.0,,,
2020-04-09,0.037,126674.0,,,
2020-04-10,0.034,203067.0,,,
2020-04-11,0.033,122348.0,,,
2020-04-12,0.035,193720.0,,,
2020-04-13,0.033,139066.0,,,
2020-04-14,0.034,85747.0,,,
2020-04-15,0.033,45529.0,,,
2020-04-16,0.034,270838.0,,,
2020-04-17,0.034,62081.0,,,
2020-04-18,0.037,100994.0,,,
2020-04-19,0.036,85845.0,,,
2020-04-20,0.034,237017.0,,,
2020-04-21,0.035,180081.0,,,
2020-04-22,0.036,141768.0,,,
2020-04-23,0.042,447361.0,,,
2020-04-24,0.042,456704.0,,,
2020-04-25,0.042,268997.0,,,
2020-04-26,0.045,353902.0,,,
2020-04-27,0.045,339463.0,,,
2020-04-28,0.047,290694.0,,,
2020-04-29,0.052,750206.0,,,
2020-04-30,0.049,1150570.0,,,
2020-05-01,0.051,537156.0,,,
2020-05-02,0.05,27519.0,,,
2020-05-03,0.049,410645.0,,,
2020-05-04,0.05,909640.0,,,
2020-05-05,0.05,255861.0,,,
2020-05-06,0.051,389004.0,,,
2020-05-07,0.051,319124.0,,,
2020-05-08,0.053,463889.0,,,
2020-05-09,0.052,306860.0,,,
2020-05-10,0.048,1265741.0,,,
2020-05-11,0.048,690768.0,,,
2020-05-12,0.05,580601.0,,,
2020-05-13,0.052,891025.0,,,
2020-05-14,0.051,298480.0,,,
2020-05-15,0.051,242851.0,,,
2020-05-16,0.051,78436.0,,,
2020-05-17,0.051,205432.0,,,
2020-05-18,0.054,346744.0,,,
2020-05-19,0.057,405842.0,,,
2020-05-20,0.057,486394.0,,,
2020-05-21,0.053,866762.0,,,
2020-05-22,0.056,575043.0,,,
2020-05-23,0.056,183808.0,,,
2020-05-24,0.054,373806.0,,,
2020-05-25,0.054,330195.0,,,
2020-05-26,0.054,388524.0,,,
2020-05-27,0.055,526232.0,,,
2020-05-28,0.063,1288267.0,,,
2020-05-29,0.064,1547589.0,,,
2020-05-30,0.077,3224987.0,,,
2020-05-31,0.076,5510253.0,,,
2020-06-01,0.082,2089337.0,,,
2020-06-02,0.079,2282630.0,,,
2020-06-03,0.083,2694185.0,,,
2020-06-04,0.088,2325170.0,,,
2020-06-05,0.085,1722703.0,,,
2020-06-06,0.087,1189365.0,,,
2020-06-07,0.086,1694329.0,,,
2020-06-08,0.086,603309.0,,,
2020-06-09,0.083,630564.0,,,
2020-06-10,0.082,1406862.0,,,
2020-06-11,0.077,2839083.0,,,
2020-06-12,0.08,1260581.0,,,
2020-06-13,0.078,305506.0,,,
2020-06-14,0.077,310500.0,,,
2020-06-15,0.078,2528679.0,,,
2020-06-16,0.079,703690.0,,,
2020-06-17,0.082,1967488.0,,,
2020-06-18,0.081,887580.0,,,
2020-06-19,0.081,625931.0,,,
2020-06-20,0.079,740699.0,,,
2020-06-21,0.079,574303.0,,,
2020-06-22,0.083,924260.0,,,
2020-06-23,0.083,1027785.0,,,
