DATE,CLOSE,ADJ CLOSE,ADJ EV CLOSE,DPA EX,VOLUME
1991-03-13,1.4181818181e-05,4.3216552716e-05,0.00026531844146,0.0,0.59805379736
1991-03-14,1.3454545454e-05,4.1000319243e-05,0.00025171236754,0.0,1.5029759811
1991-03-15,1.4e-05,4.2662494348e-05,0.00026191692298,0.0,0.50751055173
1991-03-18,1.309090909e-05,3.9892202507e-05,0.00024490933058,0.0,0.73836584001
1991-03-19,1.3636363636e-05,4.1554377611e-05,0.00025511388602,0.0,0.28000582164
1991-03-20,1.3636363636e-05,4.1554377611e-05,0.00025511388602,0.0,0.11929599609
1991-03-21,1.3818181818e-05,4.210843598e-05,0.0002585154045,0.0,0.50294400413
1991-03-22,1.3454545454e-05,4.1000319243e-05,0.00025171236754,0.0,0.26262035079
1991-03-25,1.3818181818e-05,4.210843598e-05,0.0002585154045,0.0,0.22286108454
1991-03-26,1.3600000554e-05,4.1443567629e-05,0.0002544335927,0.0,0.18728435835
1991-03-27,1.3636363636e-05,4.1554377611e-05,0.00025511388602,0.0,0.099374186152
1991-03-28,1.3636363636e-05,4.1554377611e-05,0.00025511388602,0.0,0.099374186152
1991-03-29,1.3636363636e-05,4.1554377611e-05,0.00025511388602,0.0,0.099374186152
1991-04-01,1.4036363081e-05,4.2773304331e-05,0.00026259721629,0.0,2.2826298273
1991-04-02,1.480363603e-05,4.5111431321e-05,0.00027695162843,0.0,0.33771636755
1991-04-03,1.6e-05,4.8757136398e-05,0.00029933362626,0.0,0.50591089422
1991-04-04,1.5996364247e-05,4.874605709e-05,0.00029926560731,0.0,0.78060433128
1991-04-05,1.8181818182e-05,5.5405836815e-05,0.00034015184802,0.0,3.5296036731
1991-04-08,1.7090909091e-05,5.2081486606e-05,0.00031974273714,0.0,0.48464654846
1991-04-09,1.6727272727e-05,5.097336987e-05,0.00031293970018,0.0,0.77985747514
1991-04-10,1.5636363636e-05,4.7649019661e-05,0.0002925305893,0.0,0.29117964741
1991-04-11,1.5821817571e-05,4.8214157337e-05,0.00029600012673,0.0,0.59937129586
1991-04-12,1.592727245e-05,4.8535512205e-05,0.00029797301368,0.0,0.67714437311
1991-04-15,1.6003635753e-05,4.8768215705e-05,0.00029940164521,0.0,0.80301748518
