Date,CLOSE,HIGH,LOW,OPEN,COUNT
2019-10-27,186.48,189.31,176.61,179.17,51199
2019-10-28,183.99,190.71,179.02,187.41,66086
2019-10-29,191.76,193.7,179.35,183.99,62217
2019-10-30,182.88,193.3,177.79,191.76,62304
2019-10-31,181.45,185.7,175.32,183.51,53535
2019-11-01,184.26,185.35,175.41,182.08,50641
2019-11-02,183.01,186.72,179.67,184.26,50641
2019-11-03,181.15,185.44,176.82,183.01,50641
2019-11-04,186.45,190.1,177.16,179.43,50792
2019-11-05,190.64,192.79,180.39,186.07,60907
2019-11-06,190.41,195.2,185.65,190.15,54996
2019-11-07,186.22,192.68,181.93,190.65,45696
2019-11-08,185.68,188.29,178.46,186.3,47018
2019-11-09,184.35,185.9,180.57,183.79,47018
2019-11-10,190.32,192.15,181.23,184.35,47018
2019-11-11,186.58,194.0,182.61,189.7,49835
2019-11-12,185.95,187.5,179.67,186.58,31087
